date,hour,temp,dewp,humid,wind_speed,precip,visib
2025-11-04,8,54.0,36.0,50.4,7.0,0.0,10.0
2025-11-04,9,59.0,33.0,37.3,7.0,0.0,10.0
2025-11-04,10,62.0,29.0,28.5,13.0,0.0,10.0
2025-11-04,11,63.0,28.0,26.4,11.0,0.0,10.0
2025-11-04,12,64.0,26.0,23.5,7.0,0.0,10.0
2025-11-04,13,65.0,27.0,23.7,9.0,0.0,10.0
2025-11-04,14,64.0,25.0,22.6,8.0,0.0,10.0
2025-11-04,15,63.0,29.0,27.6,6.0,0.0,10.0
2025-11-04,16,61.0,29.0,29.6,5.0,0.0,10.0
2025-11-04,17,50.0,37.0,60.8,4.0,0.0,10.0
2025-11-04,18,49.0,35.0,58.3,6.0,0.0,10.0
2025-11-04,19,49.0,35.0,58.3,6.0,0.0,10.0
2025-11-04,20,50.0,36.0,58.4,0.0,0.0,10.0
2025-11-04,21,47.0,37.0,68.0,3.0,0.0,10.0
2025-11-04,22,48.0,36.0,63.0,0.0,0.0,10.0
2025-11-04,23,44.0,39.0,82.4,0.0,0.0,10.0
2025-11-05,0,43.0,38.0,82.4,3.0,0.0,10.0
2025-11-05,1,40.0,37.0,88.9,3.0,0.0,10.0
2025-11-05,2,40.0,37.0,88.9,3.0,0.0,10.0
2025-11-05,3,40.0,37.0,88.9,3.0,0.0,10.0
2025-11-05,4,40.0,37.0,88.9,3.0,0.0,10.0
2025-11-05,5,40.0,37.0,88.9,0.0,0.0,10.0
2025-11-05,6,40.0,37.0,88.9,3.0,0.0,10.0
2025-11-05,7,46.0,40.0,79.4,7.0,0.0,10.0
2025-11-05,8,55.0,39.0,54.7,9.0,0.0,10.0
2025-11-05,9,62.0,40.0,44.3,13.0,0.0,10.0
2025-11-05,10,66.0,39.0,37.0,19.0,0.0,10.0
2025-11-05,11,69.0,40.0,34.7,17.0,0.0,10.0
2025-11-05,12,72.0,41.0,32.6,15.0,0.0,10.0
2025-11-05,13,73.0,41.0,31.5,20.0,0.0,10.0
2025-11-05,14,72.0,41.0,32.6,18.0,0.0,10.0
2025-11-05,15,69.0,43.0,39.0,13.0,0.0,10.0
2025-11-05,16,67.0,42.0,40.2,16.0,0.0,10.0
2025-11-05,17,65.0,44.0,46.5,12.0,0.0,10.0
2025-11-05,18,64.0,45.0,50.0,14.0,0.0,10.0
2025-11-05,19,64.0,45.0,50.0,16.0,0.0,10.0
2025-11-05,20,64.0,46.0,51.9,13.0,0.0,10.0
2025-11-05,21,64.0,45.0,50.0,13.0,0.0,10.0
2025-11-05,22,63.0,45.0,51.8,11.0,0.0,10.0
2025-11-05,23,61.0,45.0,55.6,10.0,0.0,10.0
2025-11-06,0,61.0,44.0,53.5,7.0,0.0,10.0
2025-11-06,1,58.0,44.0,59.5,6.0,0.0,10.0
2025-11-06,2,59.0,42.0,53.2,7.0,0.0,10.0
2025-11-06,3,56.0,37.0,48.8,9.0,0.0,10.0
2025-11-06,4,53.0,32.0,44.6,8.0,0.0,10.0
2025-11-06,5,51.0,31.0,46.1,9.0,0.0,10.0
2025-11-06,6,51.0,31.0,46.1,13.0,0.0,10.0
2025-11-06,7,52.0,26.0,36.2,14.0,0.0,10.0
2025-11-06,8,52.0,24.0,33.3,12.0,0.0,10.0
2025-11-06,9,56.0,24.0,28.8,10.0,0.0,10.0
2025-11-06,10,57.0,23.0,26.6,10.0,0.0,10.0
2025-11-06,11,59.0,23.0,24.8,8.0,0.0,10.0
2025-11-06,12,59.0,22.0,23.7,7.0,0.0,10.0
2025-11-06,13,60.0,22.0,22.9,6.0,0.0,10.0
2025-11-06,14,61.0,23.0,23.0,4.0,0.0,10.0
2025-11-06,15,60.0,24.0,24.9,5.0,0.0,10.0
2025-11-06,16,58.0,24.0,26.8,0.0,0.0,10.0
2025-11-06,17,50.0,33.0,51.8,3.0,0.0,10.0
2025-11-06,18,46.0,33.0,60.2,0.0,0.0,10.0
2025-11-06,19,43.0,33.0,67.5,0.0,0.0,10.0
2025-11-06,20,42.0,34.0,73.0,0.0,0.0,10.0
2025-11-06,21,41.0,34.0,75.9,0.0,0.0,10.0
2025-11-06,22,40.0,34.0,78.9,3.0,0.0,10.0
2025-11-06,23,40.0,34.0,78.9,0.0,0.0,10.0
2025-11-07,0,40.0,34.0,78.9,3.0,0.0,10.0
2025-11-07,1,40.0,33.0,75.8,0.0,0.0,10.0
2025-11-07,2,41.0,31.0,67.3,0.0,0.0,10.0
2025-11-07,3,40.0,31.0,70.0,0.0,0.0,10.0
2025-11-07,4,39.0,32.0,75.7,0.0,0.0,10.0
2025-11-07,5,38.0,32.0,78.8,5.0,0.0,10.0
2025-11-07,6,39.0,33.0,78.8,3.0,0.0,10.0
2025-11-07,7,44.0,36.0,73.2,7.0,0.0,10.0
2025-11-07,8,50.0,37.0,60.8,10.0,0.0,10.0
2025-11-07,9,56.0,36.0,46.9,8.0,0.0,10.0
2025-11-07,10,61.0,31.0,32.1,9.0,0.0,10.0
2025-11-07,11,62.0,35.0,36.4,12.0,0.0,10.0
2025-11-07,12,65.0,38.0,36.8,14.0,0.0,10.0
2025-11-07,13,65.0,40.0,39.8,13.0,0.0,10.0
2025-11-07,14,68.0,45.0,43.5,12.0,0.0,10.0
2025-11-07,15,67.0,47.0,48.6,13.0,0.0,10.0
2025-11-07,16,63.0,49.0,60.2,8.0,0.0,10.0
2025-11-07,17,62.0,51.0,67.2,10.0,0.0,10.0
2025-11-07,18,61.0,52.0,72.2,13.0,0.0,10.0
2025-11-07,19,60.0,53.0,77.6,13.0,0.0,10.0
2025-11-07,20,60.0,55.0,83.5,11.0,0.0,10.0
2025-11-07,21,60.0,56.0,86.6,13.0,0.0,10.0
2025-11-07,22,60.0,58.0,93.1,11.0,0.0,10.0
2025-11-07,23,60.0,58.0,93.1,8.0,0.0,10.0
2025-11-08,0,61.0,58.0,89.8,7.0,0.0,8.0
2025-11-08,1,61.0,57.0,86.7,9.0,0.0,10.0
2025-11-08,2,62.0,54.0,75.0,10.0,0.0,10.0
2025-11-08,3,58.0,56.0,93.0,7.0,0.0,10.0
2025-11-08,4,57.0,55.0,93.0,6.0,0.0,10.0
2025-11-08,5,57.0,55.0,93.0,9.0,0.0,10.0
2025-11-08,6,56.0,54.0,93.0,9.0,0.0,10.0
2025-11-08,7,58.0,54.0,86.5,9.0,0.0,10.0
2025-11-08,8,60.0,55.0,83.5,7.0,0.0,10.0
2025-11-08,9,64.0,55.0,72.5,8.0,0.0,10.0
2025-11-08,10,67.0,51.0,56.4,7.0,0.0,10.0
2025-11-08,11,70.0,47.0,43.8,7.0,0.0,10.0
2025-11-08,12,71.0,45.0,39.3,6.0,0.0,10.0
2025-11-08,13,72.0,41.0,32.6,5.0,0.0,10.0
2025-11-08,14,71.0,41.0,33.7,4.0,0.0,10.0
2025-11-08,15,70.0,45.0,40.6,5.0,0.0,10.0
2025-11-08,16,67.0,46.0,46.8,4.0,0.0,10.0
2025-11-08,17,59.0,49.0,69.4,0.0,0.0,10.0
2025-11-08,18,56.0,48.0,74.5,3.0,0.0,10.0
2025-11-08,19,55.0,48.0,77.2,3.0,0.0,10.0
2025-11-08,20,53.0,48.0,83.1,3.0,0.0,10.0
2025-11-08,21,55.0,50.0,83.2,3.0,0.0,10.0
2025-11-08,22,55.0,49.0,80.2,4.0,0.0,10.0
2025-11-08,23,54.0,50.0,86.3,0.0,0.0,10.0
2025-11-09,0,56.0,50.0,80.2,0.0,0.0,10.0
2025-11-09,1,55.0,51.0,86.4,0.0,0.0,10.0
2025-11-09,2,56.0,53.0,89.6,4.0,0.0,10.0
2025-11-09,3,55.0,53.0,93.0,0.0,0.0,10.0
2025-11-09,4,56.0,54.0,93.0,3.0,0.0,10.0
2025-11-09,5,57.0,56.0,96.4,4.0,0.0,10.0
2025-11-09,6,59.0,57.0,93.1,6.0,0.0,8.0
2025-11-09,7,59.0,58.0,96.5,5.0,0.0,2.0
2025-11-09,8,60.0,59.0,96.5,5.0,0.0,1.8
2025-11-09,9,61.0,59.0,93.1,8.0,0.0,6.0
2025-11-09,10,65.0,60.0,83.9,6.0,0.0,8.0
2025-11-09,11,69.0,60.0,73.0,9.0,0.0,10.0
2025-11-09,12,72.0,61.0,68.4,12.0,0.0,10.0
2025-11-09,13,73.0,58.0,59.4,10.0,0.0,10.0
2025-11-09,14,74.0,54.0,49.7,12.0,0.0,10.0
2025-11-09,15,74.0,53.0,47.9,8.0,0.0,10.0
2025-11-09,16,69.0,54.0,58.8,4.0,0.0,10.0
2025-11-09,17,65.0,55.0,70.0,5.0,0.0,10.0
2025-11-09,18,64.0,57.0,78.0,9.0,0.0,10.0
2025-11-09,19,64.0,53.0,67.4,20.0,0.0,9.0
2025-11-09,20,59.0,57.0,93.1,10.0,0.5,3.0
2025-11-09,21,59.0,56.0,89.8,4.0,0.0,10.0
2025-11-09,22,59.0,56.0,89.8,3.0,0.0,10.0
2025-11-09,23,58.0,54.0,86.5,5.0,0.0,10.0
2025-11-10,0,57.0,53.0,86.5,3.0,0.0,10.0
2025-11-10,1,55.0,48.0,77.2,9.0,0.0,10.0
2025-11-10,2,53.0,42.0,66.1,11.0,0.0,10.0
2025-11-10,3,52.0,42.0,68.6,8.0,0.0,10.0
2025-11-10,4,52.0,39.0,61.0,8.0,0.0,10.0
2025-11-10,5,50.0,34.0,54.0,13.0,0.0,10.0
2025-11-10,6,48.0,32.0,53.6,12.0,0.0,10.0
2025-11-10,7,47.0,31.0,53.5,11.0,0.0,10.0
2025-11-10,8,46.0,30.0,53.4,10.0,0.0,10.0
2025-11-10,9,48.0,30.0,49.5,9.0,0.0,10.0
2025-11-10,10,50.0,30.0,45.9,5.0,0.0,10.0
2025-11-10,11,52.0,28.0,39.3,12.0,0.0,10.0
2025-11-10,12,53.0,26.0,34.9,12.0,0.0,10.0
2025-11-10,13,53.0,24.0,32.1,14.0,0.0,10.0
2025-11-10,14,52.0,23.0,31.9,12.0,0.0,10.0
2025-11-10,15,51.0,22.0,31.8,11.0,0.0,10.0
2025-11-10,16,49.0,20.0,31.4,9.0,0.0,10.0
2025-11-10,17,48.0,21.0,34.0,7.0,0.0,10.0
2025-11-10,18,47.0,22.0,36.9,10.0,0.0,10.0
2025-11-10,19,45.0,21.0,38.1,13.0,0.0,10.0
2025-11-10,20,42.0,25.0,50.6,15.0,0.0,10.0
2025-11-10,21,41.0,23.0,48.4,12.0,0.0,10.0
2025-11-10,22,40.0,19.0,42.4,8.0,0.0,10.0
2025-11-10,23,39.0,20.0,46.0,6.0,0.0,10.0
2025-11-11,0,39.0,20.0,46.0,12.0,0.0,10.0
2025-11-11,1,37.0,22.0,54.2,7.0,0.0,10.0
2025-11-11,2,38.0,18.0,43.9,10.0,0.0,10.0
2025-11-11,3,36.0,15.0,41.7,17.0,0.0,10.0
2025-11-11,4,34.0,10.0,36.2,13.0,0.0,10.0
2025-11-11,5,32.0,9.0,37.6,13.0,0.0,10.0
2025-11-11,6,31.0,8.0,37.4,13.0,0.0,10.0
2025-11-11,7,32.0,9.0,37.6,13.0,0.0,10.0
2025-11-11,8,35.0,9.0,33.3,13.0,0.0,10.0
2025-11-11,9,37.0,9.0,30.8,16.0,0.0,10.0
2025-11-11,10,40.0,9.0,27.4,18.0,0.0,10.0
2025-11-11,11,43.0,11.0,26.6,18.0,0.0,10.0
2025-11-11,12,45.0,14.0,28.2,15.0,0.0,10.0
2025-11-11,13,45.0,14.0,28.2,12.0,0.0,10.0
2025-11-11,14,46.0,15.0,28.3,19.0,0.0,10.0
2025-11-11,15,47.0,16.0,28.5,13.0,0.0,10.0
2025-11-11,16,45.0,16.0,30.8,10.0,0.0,10.0
2025-11-11,17,43.0,16.0,33.2,8.0,0.0,10.0
2025-11-11,18,42.0,16.0,34.5,11.0,0.0,10.0
2025-11-11,19,40.0,16.0,37.3,9.0,0.0,10.0
2025-11-11,20,34.0,19.0,53.7,8.0,0.0,10.0
2025-11-11,21,39.0,18.0,42.2,8.0,0.0,10.0
2025-11-11,22,38.0,20.0,47.9,5.0,0.0,10.0
2025-11-11,23,40.0,20.0,44.3,7.0,0.0,10.0
2025-11-12,0,42.0,18.0,37.6,9.0,0.0,10.0
2025-11-12,1,42.0,19.0,39.3,9.0,0.0,10.0
2025-11-12,2,42.0,19.0,39.3,12.0,0.0,10.0
2025-11-12,3,41.0,19.0,40.8,12.0,0.0,10.0
2025-11-12,4,40.0,20.0,44.3,11.0,0.0,10.0
2025-11-12,5,39.0,21.0,48.0,10.0,0.0,10.0
2025-11-12,6,38.0,21.0,50.0,8.0,0.0,10.0
2025-11-12,7,41.0,22.0,46.4,11.0,0.0,10.0
2025-11-12,8,47.0,23.0,38.4,13.0,0.0,10.0
2025-11-12,9,50.0,24.0,35.8,13.0,0.0,10.0
2025-11-12,10,53.0,25.0,33.4,17.0,0.0,10.0
2025-11-12,11,57.0,26.0,30.1,15.0,0.0,10.0
2025-11-12,12,60.0,28.0,29.4,18.0,0.0,10.0
2025-11-12,13,61.0,28.0,28.4,15.0,0.0,10.0
2025-11-12,14,63.0,29.0,27.6,15.0,0.0,10.0
2025-11-12,15,62.0,29.0,28.5,13.0,0.0,10.0
2025-11-12,16,58.0,30.0,34.3,11.0,0.0,10.0
2025-11-12,17,51.0,31.0,46.1,8.0,0.0,10.0
2025-11-12,18,54.0,32.0,43.0,7.0,0.0,10.0
2025-11-12,19,55.0,32.0,41.4,7.0,0.0,10.0
2025-11-12,20,53.0,32.0,44.6,6.0,0.0,10.0
2025-11-12,21,51.0,31.0,46.1,7.0,0.0,10.0
2025-11-12,22,49.0,31.0,49.6,4.0,0.0,10.0
2025-11-12,23,43.0,32.0,64.9,3.0,0.0,10.0
2025-11-13,0,40.0,32.0,72.8,0.0,0.0,10.0
2025-11-13,1,41.0,32.0,70.1,4.0,0.0,10.0
2025-11-13,2,44.0,31.0,60.0,4.0,0.0,10.0
2025-11-13,3,46.0,30.0,53.4,6.0,0.0,10.0
2025-11-13,4,45.0,29.0,53.2,4.0,0.0,10.0
2025-11-13,5,47.0,27.0,45.4,3.0,0.0,10.0
2025-11-13,6,40.0,32.0,72.8,0.0,0.0,10.0
2025-11-13,7,40.0,33.0,75.8,3.0,0.0,10.0
2025-11-13,8,46.0,34.0,62.7,0.0,0.0,10.0
2025-11-13,9,56.0,30.0,36.8,9.0,0.0,10.0
2025-11-13,10,60.0,26.0,27.1,13.0,0.0,10.0
2025-11-13,11,61.0,26.0,26.1,14.0,0.0,10.0
2025-11-13,12,61.0,25.0,25.1,15.0,0.0,10.0
2025-11-13,13,62.0,24.0,23.2,15.0,0.0,10.0
2025-11-13,14,62.0,24.0,23.2,13.0,0.0,10.0
2025-11-13,15,62.0,22.0,21.3,9.0,0.0,10.0
2025-11-13,16,59.0,24.0,25.8,3.0,0.0,10.0
2025-11-13,17,51.0,28.0,40.8,0.0,0.0,10.0
2025-11-13,18,49.0,30.0,47.7,5.0,0.0,10.0
2025-11-13,19,46.0,30.0,53.4,4.0,0.0,10.0
2025-11-13,20,41.0,30.0,64.6,0.0,0.0,10.0
2025-11-13,21,41.0,30.0,64.6,0.0,0.0,10.0
2025-11-13,22,39.0,30.0,69.8,0.0,0.0,10.0
2025-11-13,23,37.0,29.0,72.5,0.0,0.0,10.0
2025-11-14,0,37.0,30.0,75.5,0.0,0.0,10.0
2025-11-14,1,35.0,29.0,78.5,0.0,0.0,10.0
2025-11-14,2,33.0,28.0,81.6,0.0,0.0,10.0
2025-11-14,3,34.0,29.0,81.7,0.0,0.0,10.0
2025-11-14,4,33.0,29.0,85.0,0.0,0.0,10.0
2025-11-14,5,34.0,29.0,81.7,3.0,0.0,10.0
2025-11-14,6,33.0,28.0,81.6,0.0,0.0,10.0
2025-11-14,7,41.0,29.0,62.0,5.0,0.0,10.0
2025-11-14,8,48.0,27.0,43.8,4.0,0.0,10.0
2025-11-14,9,53.0,28.0,37.9,3.0,0.0,10.0
2025-11-14,10,56.0,26.0,31.2,7.0,0.0,10.0
2025-11-14,11,59.0,25.0,26.9,8.0,0.0,10.0
2025-11-14,12,61.0,26.0,26.1,4.0,0.0,10.0
2025-11-14,13,62.0,23.0,22.2,6.0,0.0,10.0
2025-11-14,14,62.0,25.0,24.2,4.0,0.0,10.0
2025-11-14,15,61.0,25.0,25.1,5.0,0.0,10.0
2025-11-14,16,55.0,30.0,38.2,5.0,0.0,10.0
2025-11-14,17,50.0,33.0,51.8,4.0,0.0,10.0
2025-11-14,18,51.0,33.0,50.0,6.0,0.0,10.0
2025-11-14,19,52.0,31.0,44.4,5.0,0.0,10.0
2025-11-14,20,53.0,33.0,46.4,5.0,0.0,10.0
2025-11-14,21,55.0,32.0,41.4,8.0,0.0,10.0
2025-11-14,22,54.0,32.0,43.0,6.0,0.0,10.0
2025-11-14,23,57.0,31.0,37.0,6.0,0.0,10.0
2025-11-15,0,57.0,30.0,35.5,7.0,0.0,10.0
2025-11-15,1,54.0,30.0,39.6,4.0,0.0,10.0
2025-11-15,2,52.0,32.0,46.2,0.0,0.0,10.0
2025-11-15,3,51.0,34.0,52.0,0.0,0.0,10.0
2025-11-15,4,52.0,34.0,50.1,0.0,0.0,10.0
2025-11-15,5,47.0,36.0,65.4,3.0,0.0,10.0
2025-11-15,6,45.0,36.0,70.5,0.0,0.0,10.0
2025-11-15,7,49.0,37.0,63.1,0.0,0.0,10.0
2025-11-15,8,58.0,36.0,43.6,6.0,0.0,10.0
2025-11-15,9,63.0,39.0,41.1,6.0,0.0,10.0
2025-11-15,10,65.0,41.0,41.4,4.0,0.0,10.0
2025-11-15,11,68.0,44.0,41.9,5.0,0.0,10.0
2025-11-15,12,70.0,46.0,42.2,8.0,0.0,10.0
2025-11-15,13,74.0,47.0,38.3,8.0,0.0,10.0
2025-11-15,14,73.0,48.0,41.1,8.0,0.0,10.0
2025-11-15,15,70.0,50.0,49.1,8.0,0.0,10.0
2025-11-15,16,68.0,50.0,52.5,8.0,0.0,10.0
2025-11-15,17,67.0,50.0,54.4,10.0,0.0,10.0
2025-11-15,18,67.0,48.0,50.5,11.0,0.0,10.0
2025-11-15,19,68.0,47.0,47.0,13.0,0.0,10.0
2025-11-15,20,68.0,47.0,47.0,13.0,0.0,10.0
2025-11-15,21,65.0,46.0,50.2,11.0,0.0,10.0
2025-11-15,22,66.0,45.0,46.6,13.0,0.0,10.0
2025-11-15,23,65.0,45.0,48.3,15.0,0.0,10.0
